;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;(NU) EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;(NU) OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;(NU) MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;(NU) REFERENCE
;M;;[M];ACOID;5;/M /O //;(NU) AIRSPACE CONTROL ORDER IDENTIFICATION
;[ ;;M;GEODATUM;6;/M //;(NU) GEODETIC DATUM
;[ ;*;M;PERIOD;7;/M /M /C //;(NU) PERIOD OF TIME
;[ ;;O;GENTEXT;8;/M /M //;(NU) ACO MANAGEMENT INFORMATION
;[ M;;[M];ACMSTAT;9;/M /*C //;(NU) AIRSPACE CONTROL MEANS STATUS
;[ [ C;;[M];ACMID;10;/M /M /M /M /O /O //;(NU) AIRSPACE CONTROL MEANS IDENTIFICATION
;[ [ [ ;;O;GEODATUM;11;/M //;(NU) GEODETIC DATUM
;[ [ [ ;;C;POLYARC;12;/M /M /M /M /*M //;(NU) AIRSPACE SHAPE POLYARC
;[ [ [ ;;C;RADARC;13;/M /M /M /M /M //;(NU) AIRSPACE SHAPE RADARC
;[ [ [ ;;C;1TRACK;14;/M /M /M /M /M //;(NU) AIRSPACE SHAPE TRACK
;[ [ [ ;;C;POLYGON;15;/*M //;(NU) SHAPE POLYGON
;[ [ [ ;;C;CIRCLE;16;/M /M //;(NU) SHAPE CIRCLE
;[ [ [ ;;C;CORRIDOR;17;/M /*M //;(NU) AIRSPACE SHAPE CORRIDOR
;[ [ [ ;;C;APOINT;18;/M //;(NU) SHAPE POINT
;[ [ [ ;;C;AORBIT;19;/M /M /M /M //;(NU) AIRSPACE SHAPE ORBIT
;[ [ [ ;;C;GEOLINE;20;/*M //;(NU) GEOMETRIC COMPOSITE LINE
;[ [ [ ;;C;EFFLEVEL;21;/M //;(NU) VERTICAL DIMENSION OF THE EFFECTIVE LEVEL
;[ [ [ ;*;O;APERIOD;22;/M /M /M /C /C //;(NU) AIRSPACE TIME PERIOD
;[ [ [ ;*;O;CNTRLPT;23;/M /M /M /M //;(NU) CONTROL POINT
;[ [ [ ;;O;CONTAUTH;24;/M /*M //;(NU) CONTROLLING AUTHORITY
;[ [ [ ;;O;GENTEXT;25;/M /M //;(NU) TRANSIT INSTRUCTIONS
;[ [ ;;;;;;END OF SEGMENT
;[ ;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;;;O;UNDLKTN;26;/*M //;(NU) UNDEFINED AIRSPACE CONTROL MEANS LINK 16 TRACK NUMBER REFERENCE
;;;O;DECL;27;/M /C /*O /*O /*C //;(NU) MESSAGE DOWNGRADING OR DECLASSIFICATION DATA
