;SEG;RPT;OCC;SETID;SEQ;FIELD OCCURRENCE;SET FORMAT NAME
;;;O;EXER;1;/M /O //;EXERCISE IDENTIFICATION
;;;C;OPER;2;/M /O /O /O //;OPERATION CODEWORD
;;;M;MSGID;3;/M /M /O /O /O /O //;MESSAGE IDENTIFIER
;;*;O;REF;4;/M /M /M /M /O /O /*O //;REFERENCE
;;;M;AKNLDG;5;/M /*O //;ACKNOWLEDGE
;;*;O;CANX;6;/M /M /M /O /O /*O //;MESSAGE CANCELLATION WITH NEW INFORMATION PROVIDED
;;;M;TIMEFRAM;7;/M /M /O //;EFFECTIVE DATE-TIME FRAME
;;;C;HEADING;8;/M //;HEADING INFORMATION
;;*;O;RESASSET;9;/M /O /*M /*M //;THEATER RESOURCE ASSETS
;;;O;7ALLOT;10;/M /M /M /M /M /O /O //;FORCE ALLOTMENT DATA
;;*;O;CNXMSN;11;/M /M /*M //;CANCELLED MISSION
;;;M;HEADING;12;/M //;HEADING INFORMATION
;M;;[M];TSKCNTRY;13;/M //;TASKED COUNTRY
;[ M;;[M];SVCTASK;14;/M //;SERVICE TASKED
;[ [ M;;[M];TASKUNIT;15;/M /O /O //;TASKED UNIT AND LOCATION
;[ [ [;;O;POC;16;/M /M /M /M /*M //;POINT OF CONTACT INFORMATION
;[ [ [ O;;[M];MTGTLOC;17;/M /M /M /M /M /M /M /M /M /O /O /O /C /*O //;MISSILE TARGET LOCATION
;[ [ [ [;;O;REQNO;18;/*M //;REQUEST NUMBER
;;;;;;;END OF SEGMENT
;[ [ [ C;;[M];ADATSK;19;/M /M /M /O /O /O /O //;AIR DEFENCE ARTILLERY (ADA) TASKING
;[ [ [ [;;M;DEFEND;20;/M /M /O /*O //;AIR DEFENCE ARTILLERY (ADA) DEFENCE
;[ [ [ [;;O;EMCON;21;/*M /*M /*M //;EMISSION CONTROL PLAN
;[ [ [ [;*;O;CONTROLA;22;/M /M /M /O /O //;CONTROL OF AIR ASSETS
;;;;;;;END OF SEGMENT
;[ [ [;;C;ASACSDAT;23;/M /M /M /M /O /O /O /O //;AIR SURVEILLANCE AND CONTROL DATA
;[ [ [;;C;7CONTROL;24;/M /M /M /M /M /M /O //;CONTROL INFORMATION
;[ [ [ C;;[M];AMSNDAT;25;/M /O /M /O /M /O /C /O /*C //;AIRCRAFT MISSION DATA
;[ [ [ [ M;;[M];MSNACFT;26;/M /M /M /M /O /*O //;INDIVIDUAL AIRCRAFT MISSION DATA
;[ [ [ [ [;*;O;ARINFO;27;/M /M /M /M /M /M /O /M /M /O /O /O /O /O /O /O //;AERIAL REFUELLING INFORMATION
;;;;;;;END OF SEGMENT
;[ [ [ [;;O;URMKREF;28;/*M //;UNIT REMARKS REFERENCE
;[ [ [ [;;O;ROUTE;29;/*M /*M /*O //;ROUTE
;[ [ [ [;;O;1MSNRTE;30;/M /M /M /O /O /O //;MISSION ROUTING
;[ [ [ [;;C;9PKGDAT;31;/M /M /M /M /M /M /M //;PACKAGE DATA
;[ [ [ [;;C;PKGCMD;32;/M /M /M /M //;PACKAGE COMMANDER
;[ [ [ [ M;;[O];AMSNLOC;33;/M /M /O /O /O /*O //;AIRCRAFT MISSION LOCATION
;[ [ [ [ [;I;C;GTGTLOC;34;/M /O /C /C /M /O /M /O /O /C /O /O /O /O //;GROUND TARGET LOCATION
;[ [ [ [ [;I;C;SHIPTGT;35;/O /C /C /M /M /O /O /M /O /M /M /O /O /O //;SHIP TARGET DATA
;[ [ [ [ [;I;C;AIRMOVE;36;/M /M /M /M /O /M /O /O /O /O //;AIR MOVEMENT
;[ [ [ [ [;I;C;RECCEDAT;37;/M /O /C /C /M /M /M /O /C /M /M /M /O /M /*M //;RECONNAISSANCE MISSION DATA
;[ [ [ [ [ C;;[M];PTRCPLOT;38;/M /O /O /M /*O //;POSITION TRACE PLOT
;[ [ [ [ [ [;*;O;PRODUCT;39;/M /M /*M /*M //;IMAGERY PRODUCT
;;;;;;;END OF SEGMENT
;[ [ [ [ [;;C;IMDATLNK;40;/M /M /M /O /C //;IMAGERY DATA LINK CONTROL INFORMATION
;[ [ [ [ [;;O;REQNO;41;/*M //;REQUEST NUMBER
;[ [ [ [ [;*;C;MTGTLOC;42;/M /M /M /M /M /M /M /M /M /O /O /O /C /*O //;MISSILE TARGET LOCATION
;[ [ [ [ [;;C;REFTSK;43;/M /M /O /M /O /O /O //;REFUELLING TASKING
;[ [ [ [ [;;C;5REFUEL;44;/M /M /M /M /M /M /O /O /O //;AERIAL REFUELLING
;[ [ [ [ [;*;O;CONTROLA;45;/M /M /M /O /O //;CONTROL OF AIR ASSETS
;[ [ [ [ [;*;O;ASUPTFOR;46;/M /M /M /O /O /O /O /O //;AIR SUPPORT FOR
;[ [ [ [ [;*;O;ASUPTBY;47;/M /M /M /O /O /O /O /O //;AIR SUPPORTED BY
;[ [ [ [ [;*;O;FACINFOR;48;/M /M /O /O /O //;FORWARD AIR CONTROLLER INFORMATION/DATA
;[ [ [ [ [;;O;8FACSCHD;49;/M /M /M /M /M /O //;FORWARD AIR CONTROLLER SCHEDULE
;[ [ [ [ [;;O;6EWDATA;50;/M /O /M /M /M /O //;ELECTRONIC WARFARE DATA
;[ [ [ [ [;;O;6ROUTE;51;/M /M /M /O /C /O //;AIRCRAFT ROUTE INFORMATION
;[ [ [ [ [;*;O;ESCDATA;52;/M /M /O /O /O //;ESCORT DATA
;[ [ [ [ [;*;O;RDZDATA;53;/M /M /M /M /M /M /O //;AIRCRAFT RENDEZVOUS MISSION DATA
;[ [ [ [ [;*;O;CHAFF;54;/M /O /C /O /C /O //;CHAFF MISSION DATA
;[ [ [ [ [;*;O;LANDSTS;55;/M /O /C /O /C /*O /*O /*O //;LANDING SITE INFORMATION
;[ [ [ [ [;*;O;GNDFRND;56;/M /M /M /O /C //;GROUND LOCATION OF FRIENDLY TROOPS
;[ [ [ [ [;*;O;PGMINFO;57;/M /O /O /O /O //;PRECISION GUIDED MUNITIONS INFORMATION
;[ [ [ [ [;*;O;AIRDROP;58;/M /M /M /O /O /O /C /O /C //;DROP ZONE
;[ [ [ [ [;*;O;TRANSREQ;59;/M /M /M /M /O /O /O /O /O /O /O /O /O /O /O /O /O //;ALLOCATED TRANSPORTATION REQUIREMENTS
;[ [ [ [ [;;C;ASACSDAT;60;/M /M /M /M /O /O /O /O //;AIR SURVEILLANCE AND CONTROL DATA
;[ [ [ [ [;;O;7CONTROL;61;/M /M /M /M /M /M /O //;CONTROL INFORMATION
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
;[ [ [;;C;GENTEXT;62;/M /M //;GENERAL TEXT
;[ [;;;;;;END OF SEGMENT
;[;;;;;;END OF SEGMENT
;;;;;;;END OF SEGMENT
