Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
1;;;ATO;;;;;;;;;;
2;;SET;ATO;EXER;;;;O - 1;;EXERCISE IDENTIFICATION;;;
3;;;;;;;;;;;;;
4;;SET;ATO;OPER;;;;C - 1;;OPERATION CODEWORD;;;
5;;;;;;;;;;;;;
6;;SET;ATO;MSGID;;;;M - 1;;MESSAGE IDENTIFIER;;;
7;;;;;;;;;;;;;
8;;SET;ATO;REF;;;;O - N;;REFERENCE;;;
9;;;;;;;;;;;;;
10;;SET;ATO;AKNLDG;;;;M - 1;;ACKNOWLEDGE;;;
11;;;;;;;;;;;;;
12;;SET;ATO;CANX;;;;O - N;;MESSAGE CANCELLATION WITH NEW INFORMATION PROVIDED;;;
13;;;;;;;;;;;;;
14;;SET;ATO;TIMEFRAM;;;;M - 1;;EFFECTIVE DATE-TIME FRAME;;;
15;;;;;;;;;;;;;
16;;SET;ATO;HEADING;;;;M - 1;;HEADING INFORMATION;;;
17;;;;;;;;;;;;;
18;;SET;ATO;GENTEXT;;;;O - 1;;GENERAL TEXT;;;
19;;;;;;;;;;;;;
20;;SET;ATO;GEODATUM;;;;M - 1;;GEODETIC DATUM;;;
21;;;;;;;;;;;;;
22;;SET;ATO;RESASSET;;;;O - N;;THEATER RESOURCE ASSETS;;;
23;;;;;;;;;;;;;
24;;SET;ATO;7ALLOT;;;;O - 1;;FORCE ALLOTMENT DATA;MPGT.PlanificationOperation3D;;
25;;REPET. GROUP;ATO;7ALLOT;-;;1037/004;-;;REQUESTING COMPONENT COMMAND;MPGT.PlanificationOperation3D;;
26;;FIELD;ATO;7ALLOT;1;;1037/004;M - N;1..15;REQUESTING COMPONENT COMMAND;MPGT.PlanificationOperation3D;MPIA.Unite;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Unite}
27;;FIELD;ATO;7ALLOT;2;;1012/144;O - N;1..11;REQUEST IDENTIFIER;MPGT.PlanificationOperation3D;MPGT.SuiviDemande;EstSujet{MPIA.AssociationFonctionnelleActivite}#EstSuivieSelon{MPGT.SuiviDemande}#MPGT.SuiviDemande.IdentifiantDemande
28;;FIELD;ATO;7ALLOT;3;;1570/003;M - N;3..3;REQUEST STATUS INDICATOR, ABBREVIATED;MPGT.PlanificationOperation3D;MPGT.SuiviDemande;EstSujet{MPIA.AssociationFonctionnelleActivite}#EstSuivieSelon{MPGT.SuiviDemande}#MPGT.SuiviDemande.EtatDemande
29;;FIELD;ATO;7ALLOT;4;;1012/069;M - N;1..8;MISSION NUMBER;MPGT.PlanificationOperation3D;MPGT.MissionAir;EstSujet{MPIA.AssociationFonctionnelleActivite}#AssocieCommeSujet{MPGT.MissionAir}#MPGT.MissionAir.NumeroMission
30;;FIELD;ATO;7ALLOT;5;;1037/005;M - N;1..15;COMPLYING COMPONENT COMMAND OR UNIT;MPGT.PlanificationOperation3D;MPIA.Unite;EstSujet{MPIA.AssociationFonctionnelleActivite}#AssocieCommeSujet{MPGT.Mission}#APourRessource{MPIA.RessourceActiviteInstanceObjet}#AssocieCommeInstanceObjet{MPIA.Unite}
31;;FIELD;ATO;7ALLOT;6;;1076/009;O - N;1..2;REVISED PRIORITY;MPGT.PlanificationOperation3D;MPGT.SuiviDemande;EstSujet{MPIA.AssociationFonctionnelleActivite}#EstSuivieSelon{MPGT.SuiviDemande}#MPGT.SuiviDemande.PrioriteRevisee
32;;FIELD;ATO;7ALLOT;7;;1357/025;O - N;1..8;COMMENT, ABBREVIATED;MPGT.PlanificationOperation3D;MPGT.SuiviDemande;EstSujet{MPIA.AssociationFonctionnelleActivite}#EstSuivieSelon{MPGT.SuiviDemande}#MPGT.SuiviDemande.CommentaireAbrege
33;;SET;ATO;CODES;;;;O - N;;CODES, CRYPTO AND AUTHENTICATION;;;
34;;;;;;;;;;;;;
35;;SET;ATO;POC;;;;O - 1;;POINT OF CONTACT INFORMATION;MPGT.PlanificationOperation3D;MPIA.Personne;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}
36;;FIELD;ATO;POC;1;;1022/007;M - 1;1..20;CONTACT NAME;MPGT.PlanificationOperation3D;MPIA.Personne{MPIA.RacineOperationnelle};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#MPIA.RacineOperationnelle.Nom
37;;FIELD;ATO;POC;2;;1046/002;M - 1;1..16;RANK OR POSITION;MPGT.PlanificationOperation3D;MPIA.TypePersonne;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.TypePersonne}#MPIA.TypePersonne.Grade
38;;FIELD;ATO;POC;3.A;;1022/057;M - 1;1..30;UNIT;MPGT.PlanificationOperation3D;MPIA.Unite;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}
39;;FIELD;ATO;POC;3.B;;1129/033;M - 1;1..38;UNIT CALL SIGN;MPGT.PlanificationOperation3D;MPIA.AssociationInstanceObjetAdresse;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}#MPIA.AssociationInstanceObjetAdresse.Designation
40;;FIELD;ATO;POC;3.C;;2141/001;M - 1;7..9;UNIT IDENTIFICATION CODE (UIC);MPGT.PlanificationOperation3D;MPIA.Unite{MPIA.EntiteOrganisationnelle};EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstObjet{MPGT.AssociationEntiteOrgPersonne}#APourSujet{MPIA.Unite}#MPGT.EntiteOrganisationnelle.CodeIdentification
41;;COMP. FIELD;ATO;POC;4.A;;2024/001;M - 1;15..15;GEOGRAPHIC POSITION, LAT/LONG, SECONDS;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
42;;COMP. FIELD;ATO;POC;4.B;;2086/001;M - 1;13..13;GEOGRAPHIC POSITION, UTM 10-METRE;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}
43;;FIELD;ATO;POC;4.C;;1022/004;M - 1;1..20;LOCATION NAME;MPGT.PlanificationOperation3D;MPGT.LocalisationGeometrique2D;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#EstLocalisePar{MPIA.AssocInstanceObjetLocalisation}#EstLocaliseEn{MPGT.LocalisationGeometrique2D}#MPGT.Localisation.Lieu
44;;REPET. GROUP;ATO;POC;-;;1361/003;-;;TELEPHONE NUMBER OR FREQUENCY;MPGT.PlanificationOperation3D;MPIA.AutreAdresse;EstObjet{MPIA.AssociationInstanceObjetActivite}#APourSujet{MPIA.Personne}#AssocieCommeAdresse{MPIA.AssociationInstanceObjetAdresse}
