FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;UTM GRID ZONE;2-2;Integer;ONE OF THE 60 LONGITUDINAL PROJECTION ZONES IN THE UTM GRID, NUMBERED 1 TO 60 STARTING AT 180°W.;1.0;In Service;03 Dec 07
2;UTM 1 METRE HIGHER ORDER EASTING;6-6;Integer;EASTING FOR UTM COORDINATES.;1.0;In Service;03 Dec 07
3;UTM 1 METRE HIGHER ORDER NORTHING;7-7;Integer;NORTHING FOR UTM COORDINATES.;1.0;In Service;03 Dec 07
4;MGRS (UTM) GRID LATITUDE BAND;1-1;Individual;ONE OF THE 20 LATITUDINAL ZONES OF THE MGRS (UTM) GRID SPANNING THE LATITUDES 80°S TO 84°N.;1.0;In Service;03 Dec 07
5;MGRS (UTM) 100KM BOX;2-2;Alphanumeric;LETTER PAIR DESIGNATING ONE OF THE 100,000 METRE GRID SQUARES WITHIN A UTM GRID ZONE.;1.0;In Service;03 Dec 07
6;MGRS 1 METRE HIGHER ORDER EASTING;5-5;Integer;EASTING FOR MGRS COORDINATES.;1.0;In Service;03 Dec 07
7;MGRS 1 METRE HIGHER ORDER NORTHING;5-5;Integer;NORTHING FOR MGRS COORDINATES.;1.0;In Service;03 Dec 07
8;UPS 1 METRE HIGHER ORDER X;7-7;Integer;;1.0;In Service;03 Dec 07
9;UPS 1 METRE HIGHER ORDER Y;7-7;Integer;;1.0;In Service;03 Dec 07
10;MGRS (UPS) HEMISPHERE INDICATOR;1-1;Individual;;1.0;In Service;03 Dec 07
11;MGRS (UPS) 100KM SQUARE COLUMN;1-1;Alphanumeric;;1.0;In Service;03 Dec 07
12;MGRS (UPS) 100KM SQUARE ROW;1-1;Alphanumeric;;1.0;In Service;03 Dec 07
