FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINE REFERENCE NUMBER;;;1A;LINE REFERENCE NUMBER;;1348/3;2-2;M
2;CONSIGNEE ALTERNATIVES;;;2A;CONSIGNEE, ARMED SERVICE;;1107/3;1-10;M
;CONSIGNEE ALTERNATIVES;;;2B;CONSIGNEE;;1022/178;;
3;LOAD TYPE;;;3A;LOAD TYPE;;1173/1;3-6;M
4;NUMBER OF PIECES OF CARGO;;;4A;NUMBER OF PIECES OF CARGO;;1044/272;1-4;C
5;CARGO WEIGHT IN METRIC TONS;;;5A;CARGO WEIGHT IN METRIC TONS;;1050/6;1-5;M
6;CARGO VOLUME IN CUBIC METRES;;;6A;CARGO VOLUME IN CUBIC METRES;;1063/6;1-5;M
7;CARGO WEIGHT IN LONG TONS;;;7A;CARGO WEIGHT IN LONG TONS;;1167/2;1-5;O
8;CARGO VOLUME IN MEASUREMENT TONS;;;8A;CARGO VOLUME IN MEASUREMENT TONS;;1168/2;1-5;O
9;CARGO CONTAINER TYPE;;;9A;CARGO CONTAINER TYPE;;1190/2;2-6;O
10;BARGE NUMBER;;;10A;BARGE NUMBER;;1012/138;1-5;O
