FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PERSONNEL CATEGORY AND GENDER;;;1A;PERSONNEL CATEGORY AND GENDER;;1286/9;7-8;M
2;NUMBER AUTHORIZED;;;2A;NUMBER AUTHORIZED;;1044/257;1-7;M
3;EFFECTIVE STRENGTH;;;3A;EFFECTIVE STRENGTH;;1044/258;1-7;M
4;NUMBER ATTACHED;;;4A;NUMBER ATTACHED;;1044/259;1-6;M
5;NUMBER DETACHED;;;5A;NUMBER DETACHED;;1044/260;1-6;M
6;NUMBER OF DEAD;;;6A;NUMBER OF DEAD;;1044/261;1-5;M
7;NUMBER OF INCAPACITATED;;;7A;NUMBER OF INCAPACITATED;;1044/262;1-5;M
8;NUMBER OF MISSING;;;8A;NUMBER OF MISSING;;1044/263;1-5;M
9;NUMBER OF OWN POW;;;9A;NUMBER OF OWN POW;;1044/264;1-5;M
10;NUMBER OF ENEMY POW;;;10A;NUMBER OF ENEMY POW;;1044/265;1-5;M
