FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTEXT QUANTITY, 1-999;;;1A;CONTEXT QUANTITY, 1-999;;1023/3;1-3;M
2;NATURE OF CARGO LOAD;;;2A;NATURE OF CARGO LOAD;;1867/2;1-8;M
3;UNIFIED (RAIL) SKETCH BOOK NUMBER;;;3A;UNIFIED (RAIL) SKETCH BOOK NUMBER;;1012/306;4-7;O
4;CONTENT OF CARGO LOAD;;;4A;CONTENT OF CARGO LOAD;;1867/3;1-7;O
5;WEIGHT OF THE LARGEST ITEM IN METRIC TONS;;;5A;WEIGHT OF THE LARGEST ITEM IN METRIC TONS;;1050/5;1-3;O
6;SERIAL TOTAL WEIGHT IN METRIC TONS;;;6A;SERIAL TOTAL WEIGHT IN METRIC TONS;;1050/9;1-5;O
7;DIMENSIONS OF CARGO LOAD IN METERS;;;7A;DIMENSIONS OF CARGO LOAD IN METERS;;2581;5-8;O
8;MILITARY LOAD CLASSIFICATION;;;8A;MILITARY LOAD CLASSIFICATION;;1253/1;1-3;O
9;UNITED NATIONS NUMBER;;;9A;UNITED NATIONS NUMBER;;1221/4;4-6;O
10;DANGEROUS GOODS CLASSIFICATION;;;10A;DANGEROUS GOODS CLASSIFICATION;;1221/5;1-4;O
