FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REFERENCE NUMBER;;;1A;REFERENCE NUMBER;;1348/2;1-6;M
2;GEOGRAPHIC ENTITY;;;2A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
3;DAY-TIME ON;;;3A;DAY-TIME ON;;2000;7-7;M
4;DAY-TIME OFF;;;4A;DAY-TIME OFF;;2000;7-7;M
5;START LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-30;M
;START LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;START LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;START LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;START LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;START LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;START LOCATION;;;5G;GEOGRAPHIC PLACE NAME;NAME;1022/90;;
