FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER;;;1A;MISSION NUMBER;;1012/69;1-8;M
2;MOST SIGNIFICANT WEATHER;;;2A;WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;WMO;1386/7;1-6;M
;MOST SIGNIFICANT WEATHER;;;2B;MOST SIGNIFICANT WEATHER CODE;;1386/8;;
3;VISIBILITY;;;3A;VISIBILITY;;2059;2-7;O
4;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;;;4A;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;;1255/6;1-3;O
5;WIND DIRECTION;;;5A;WIND DIRECTION IN DEGREES TRUE, GRID OR MAGNETIC;;2130;3-4;O
;WIND DIRECTION;;;5B;WIND DIRECTION QUALIFIER;;1130/5;;
6;AVERAGE WIND SPEED;;;6A;AVERAGE WIND SPEED;;2063;4-7;O
7;PEAK GUSTS;;;7A;PEAK GUSTS;;2063;4-7;O
8;SEA STATE;;;8A;SEA STATE;;1392/1;1-1;O
9;WEATHER COMMENTS;;;9A;WEATHER COMMENTS;;1357/12;1-10;O
