FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DAY-TIME START;;;1A;DAY-TIME START;;2000;7-7;M
2;DAY-TIME STOP;;;2A;DAY-TIME STOP;;2000;7-7;M
3;AIR REFUELLING AREA;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;AIR REFUELLING AREA;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AIR REFUELLING AREA;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AIR REFUELLING AREA;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AIR REFUELLING AREA;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AIR REFUELLING AREA;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;AIR REFUELLING AREA;;;3G;AIR REFUELLING AREA NAME;NAME;1022/184;;
4;FUEL ONLOADED IN THOUSANDS OF POUNDS (KLBS);;;4A;FUEL ONLOADED IN THOUSANDS OF POUNDS (KLBS);;1578/3;1-3;M
5;AERIAL REFUELLING SYSTEM, SPECIFIC;;;5A;AERIAL REFUELLING SYSTEM, SPECIFIC;;1579/2;3-3;O
