FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TOWLINE IDENTIFIER;;;1A;TOWLINE IDENTIFIER;;1012/119;1-20;M
2;TOWLINE START POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-27;M
;TOWLINE START POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TOWLINE START POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TOWLINE START POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TOWLINE START POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TOWLINE START POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;TOWLINE START POSITION;;;2G;CODE NAME OF START POSITION;NAME;1022/133;;
;TOWLINE START POSITION;;;2H;START POSITION, BEARING AND DISTANCE IN NM FROM REF PT;BAR;2307;;
3;TOWLINE END POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-27;M
;TOWLINE END POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TOWLINE END POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TOWLINE END POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TOWLINE END POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TOWLINE END POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;TOWLINE END POSITION;;;3G;CODE NAME OF STOP POSITION;NAME;1022/134;;
;TOWLINE END POSITION;;;3H;STOP POSITION, BEARING AND DISTANCE IN NM FROM REF PT;BAR;2307;;
4;ALTITUDE OR FLIGHT LEVEL;;;4A;ALTITUDE IN HUNDREDS OF FEET;ALT;1255/1;3-3;M
;ALTITUDE OR FLIGHT LEVEL;;;4B;FLIGHT LEVEL NUMBER;FL;1012/42;;
5;PRIMARY FREQUENCY;;;5A;PRIMARY FREQUENCY;;2064;3-14;M
6;PRIMARY COMMUNICATIONS NET DESIGNATOR;;;6A;PRIMARY COMMUNICATIONS NET DESIGNATOR;;1305/6;1-10;M
7;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;;7A;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;2080;3-5;M
8;ALTERNATE FREQUENCY;;;8A;ALTERNATE FREQUENCY;;2064;3-14;M*
9;ALTERNATE COMMUNICATIONS NET DESIGNATOR;;;9A;ALTERNATE COMMUNICATIONS NET DESIGNATOR;;1305/8;1-10;M*
10;MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER;;;10A;MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER;;2080;3-5;M*
