FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFIER;;;1A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-38;M
;UNIT IDENTIFIER;;;1B;BASE IDENTIFICATION CODE;BASE;2141;;
;UNIT IDENTIFIER;;;1C;UNIT DESIGNATOR;UNIT;1028/43;;
;UNIT IDENTIFIER;;;1D;SHIP NAME;SHIP;1022/49;;
2;CALL SIGN;;;2A;CONTACT CALL SIGN;;1129/31;1-20;M
3;PRIMARY COMMUNICATION PARAMETERS;;;3A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;3B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;3C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;3D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
4;SECONDARY COMMUNICATION PARAMETERS;;;4A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;4B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;4C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;4D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
5;LINK 16 CALL SIGN;;;5A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
