FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT;;;1A;UNIT;;1022/57;1-30;M
2;ANTI-AIR WARFARE CALL SIGN;;;2A;ANTI-AIR WARFARE CALL SIGN;;1129/8;1-2;M
3;ANTI-AIR WARFARE FUNCTIONAL ACTIVITY;;;3A;ANTI-AIR WARFARE FUNCTIONAL ACTIVITY;;1299/13;6-8;M
4;LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;4G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;LOCATION;;;4H;REFERENCE POINT NAME;NAME;1022/2;;
;LOCATION;;;4I;BEARING AND DISTANCE IN NM FROM REFERENCE POINT;BARN;2307;;
