FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MODIFIER TYPE;;;1A;MODIFIER TYPE;;1156/6;3-3;M
2;AIRSPACE COORDINATION AREA CODE NAME;;;2A;AIRSPACE COORDINATION AREA CODE NAME;;1022/21;3-12;M
3;OPERATIONAL COMMAND;;;3A;OPERATIONAL COMMAND;;1028/9;1-20;M
4;DTG OF START;;;4A;DTG OF START;;2033;14-14;M
5;DTG OF STOP;;;5A;DTG OF STOP;;2033;14-14;O
6;TYPE OF AIRSPACE SHAPE;;;6A;TYPE OF AIRSPACE SHAPE;;1237/2;4-8;M
7;CONTROL POINT LOCATION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;CONTROL POINT LOCATION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTROL POINT LOCATION;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTROL POINT LOCATION;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTROL POINT LOCATION;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTROL POINT LOCATION;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
8;POINT IDENTIFIER;;;8A;POINT IDENTIFIER;;1012/156;2-17;M
9;CORRIDOR WIDTH OR AREA RADIUS IN METRES;;;9A;WIDTH IN METRES, 1-99999;;1658/6;1-5;M
;CORRIDOR WIDTH OR AREA RADIUS IN METRES;;;9B;RADIUS IN METRES, 1-99999;RAD;1580/13;;
10;MIN ALTITUDE AND REFERENCE LEVEL WITH UNIT OF MEASUREMENT;;;10A;MIN ALTITUDE AND REFERENCE LEVEL WITH UNIT OF MEASUREMENT;MIN;2060;5-11;M
11;MAX ALTITUDE AND REFERENCE LEVEL WITH UNIT OF MEASUREMENT;;;11A;MAX ALTITUDE AND REFERENCE LEVEL WITH UNIT OF MEASUREMENT;MAX;2060;5-11;M
12;CORRIDOR START POINT LOCATION;;;12A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;CORRIDOR START POINT LOCATION;;;12B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CORRIDOR START POINT LOCATION;;;12C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CORRIDOR START POINT LOCATION;;;12D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CORRIDOR START POINT LOCATION;;;12E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CORRIDOR START POINT LOCATION;;;12F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
13;CORRIDOR END POINT LOCATION;;;13A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;CORRIDOR END POINT LOCATION;;;13B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CORRIDOR END POINT LOCATION;;;13C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CORRIDOR END POINT LOCATION;;;13D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CORRIDOR END POINT LOCATION;;;13E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CORRIDOR END POINT LOCATION;;;13F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
