FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PARENT UNIT IDENTITY;;;1A;UNIT;;1022/57;1-30;M
;PARENT UNIT IDENTITY;;;1B;ICAO BASE CODE;ICAO;1125/2;;
;PARENT UNIT IDENTITY;;;1C;BASE NAME;BASE;1022/104;;
2;AIRCRAFT CODE;;;2A;AIRCRAFT CODE;;1015/2;2-6;M*
3;NUMBER OF AIRCRAFT, 1-99;;;3A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;M*
4;ALERT STATUS;;;4A;ALERT STATUS;;2161;3-7;M*
5;DTG OF START;;;5A;DTG OF START;;2033;14-14;M*
6;END TIME;;;6A;DTG OF STOP;;2033;3-14;M*
;END TIME;;;6B;TIME, NON-DISCRETE INDICATOR;;1084/3;;
7;WEAPON LOAD;;;7A;AIRCRAFT WEAPON LOAD;;1514/1;1-38;M*
;WEAPON LOAD;;;7B;IDENTIFIER, NON-DISCRETE INDICATOR;ID;1084/4;;
8;CALL SIGN;;;8A;CALL SIGN;;1129/1;1-38;M*
