FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMMUNICATION LINE ACCESS;;;1A;COMMUNICATION LINE ACCESS;;1666/4;1-20;M
2;LOCATION OF ACCESS POINT;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;LOCATION OF ACCESS POINT;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION OF ACCESS POINT;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION OF ACCESS POINT;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION OF ACCESS POINT;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION OF ACCESS POINT;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;LOCATION OF END POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;LOCATION OF END POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION OF END POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION OF END POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION OF END POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION OF END POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;DIRECTION OF APPROACH;;;4A;DIRECTION OF APPROACH, DEGREES TRUE, GRID OR MAGNETIC;;2065;4-4;O
5;RECOMMENDATION OF APPROACH;;;5A;RECOMMENDATION OF APPROACH;;1027/48;2-3;O
6;KEYPOINT DESCRIPTION;;;6A;KEYPOINT DESCRIPTION;;1363/39;1-30;O*
7;KEYPOINT LOCATION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;KEYPOINT LOCATION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;KEYPOINT LOCATION;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;KEYPOINT LOCATION;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;KEYPOINT LOCATION;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;KEYPOINT LOCATION;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
8;OPERATIONAL STATUS OF KEY POINT;;;8A;OPERATIONAL STATUS OF KEY POINT;;1236/26;3-7;O*
9;CAUSE OF DAMAGE OR STATUS DEGRADE;;;9A;CAUSE OF DAMAGE STATUS DEGRADE;;1235/3;2-5;C*
