FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BEACH ACCESS TYPE;;;1A;BEACH ACCESS TYPE;;1666/2;6-8;M
2;BEACH EXIT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;BEACH EXIT LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;BEACH EXIT LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;BEACH EXIT LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;BEACH EXIT LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;BEACH EXIT LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;ACCESS CAPABILITY;;;3A;ACCESS CAPABILITY;;1666/3;3-4;M
4;BEACH OR ACCESS TRAFFICABILITY;;;4A;BEACH OR ACCESS TRAFFICABILITY;;1289/3;3-5;M
5;WIDTH OF ACCESS (FEET, YARDS OR METRES);;;5A;WIDTH OF ACCESS (FEET, YARDS OR METRES);;2451;2-7;C
