FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ACOUSTIC DETECTION MODE;;;1A;ACOUSTIC DETECTION MODE;;1442/1;3-3;M
2;DETECTION TIME;;;2A;DAY-TIME OF DETECTION;;2000;7-7;M
3;ACOUSTIC DETECTION TYPE;;;3A;ACOUSTIC DETECTION TYPE;;1443/1;2-4;M
4;FREQUENCY DETECTED;;;4A;FREQUENCY DETECTED;;2479;3-10;M
5;IDENTIFIER OF SONOBUOY GAINING CONTACT;;;5A;IDENTIFIER OF THE SONOBUOY IN PATTERN GAINING CONTACT;;1012/291;1-4;M
6;HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED;;;6A;HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED;;2264;2-7;M
7;ASW DISPLAY MODE;;;7A;ASW DISPLAY MODE;;1446/1;3-3;M
8;INTEGRATION TIME RESOLUTION SETTING;;;8A;INTEGRATION TIME RESOLUTION SETTING;;1447/1;1-2;M
9;PROCESSOR RESOLUTION SETTING;;;9A;PROCESSOR RESOLUTION SETTING;;1448/1;3-3;M
10;PROCESSOR INTEGRATION TIME SINCE DETECTION IN MINUTES;;;10A;PROCESSOR INTEGRATION TIME SINCE DETECTION IN MINUTES;;1072/2;1-5;M
