FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FLAG OR UIC;;;1A;NATIONALITY;;1026/2;2-9;M
;FLAG OR UIC;;;1B;UNIT IDENTIFICATION CODE (UIC);UIC2;2141;;
2;AIRCRAFT IDENTIFIER;;;2A;AIRCRAFT IDENTIFIER;;1015/12;3-29;M*
3;NUMBER OF AIRCRAFT, 00-99;;;3A;NUMBER OF AIRCRAFT, 00-99;;1044/3;2-2;M*
4;LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M*
;LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;4G;SHIP NAME;SHIP;1022/49;;
;LOCATION;;;4H;PLACE NAME;NAME;1022/170;;
