FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;POINT NUMBER;;;1A;POINT NUMBER;;1012/257;1-2;M
2;ROUTE POINT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;ROUTE POINT LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ROUTE POINT LOCATION;;;2C;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
;ROUTE POINT LOCATION;;;2D;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;2017;;
;ROUTE POINT LOCATION;;;2E;POSITION OR POINT NAME;NAME;1022/18;;
;ROUTE POINT LOCATION;;;2F;ICAO BASE CODE;ICAO;1125/2;;
3;ROUTE POINT TYPE;;;3A;ROUTE POINT TYPE;;1284/13;2-3;M
4;ARRIVAL TIME;;;4A;RELATIVE AIRCRAFT ARRIVAL TIME;RTIME;2482;6-7;O
;ARRIVAL TIME;;;4B;DAY-TIME OF ARRIVAL;TIME;2000;;
5;SPEED OF MOVEMENT;;;5A;SPEED OF MOVEMENT IN MPH, KTS, KPH OR MPS;;2481;4-8;O
6;ALTITUDE IN HUNDREDS OF FEET;;;6A;ALTITUDE, HUNDREDS OF FEET;;1255/14;3-3;O
