FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET CATEGORY CODE;;;1A;TARGET CATEGORY CODE;;1309/2;2-2;M
2;TARGET CATEGORY DESIGNATOR;;;2A;TARGET CATEGORY DESIGNATOR;;1309/4;5-29;M
3;TARGET DESCRIPTION;;;3A;TARGET ELEMENT DESCRIPTION;;1363/7;1-20;M
;TARGET DESCRIPTION;;;3B;EQUIPMENT TYPE;EQPT;1135/1;;
4;NUMBER OF TARGET ELEMENTS;;;4A;NUMBER OF TARGET ELEMENTS;;1044/83;1-4;M
5;GEOGRAPHICAL ENTITY;;;5A;GEOGRAPHICAL ENTITY;;1026/1;2-2;O
6;TARGET LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-48;M
;TARGET LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TARGET LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TARGET LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TARGET LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;TARGET LOCATION;;;6G;TARGET POSITION, TRUE BEARING AND DISTANCE IN NM;BAR;2016;;
;TARGET LOCATION;;;6H;ACTIVITY LOCATION NAME;NAME;1022/103;;
7;TARGET ACTIVITY DESCRIPTION;;;7A;TARGET ACTIVITY DESCRIPTION;;1299/15;1-20;M
8;DAY-TIME;;;8A;DAY-TIME OF POSITION;;2000;7-7;M
9;TARGET COURSE;;;9A;TARGET COURSE IN DEGREES;;2065;1-4;O
;TARGET COURSE;;;9B;DIRECTION OF MOVEMENT (COMPASS POINT);;1161/1;;
10;TARGET SPEED;;;10A;TARGET SPEED;TGTSPEED;2063;3-7;O
;TARGET SPEED;;;10B;SPEED QUALIFIER;SPDQUAL;1672/1;;
