FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;UNIT DESIGNATION;;1028/26;1-35;M
2;GEOGRAPHIC LOCATION OF UNIT;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GEOGRAPHIC LOCATION OF UNIT;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC LOCATION OF UNIT;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC LOCATION OF UNIT;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC LOCATION OF UNIT;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC LOCATION OF UNIT;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;UNIT DESIGNATION OF HIGHER ECHELON;;;3A;UNIT DESIGNATION OF HIGHER ECHELON;;1028/27;1-35;M
4;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC LOCATION OF HIGHER ECHELON;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
