FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF DETACHING;;;1A;DTG OF DETACHING;;2033;14-14;M
2;DETACHING PLACE OR LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;DETACHING PLACE OR LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DETACHING PLACE OR LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DETACHING PLACE OR LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DETACHING PLACE OR LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DETACHING PLACE OR LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DETACHING PLACE OR LOCATION;;;2G;LOCATION OR POSITION NAME;LOC;1022/6;;
3;TRANSIT POINT DESIGNATOR;;;3A;TRANSIT POINT DESIGNATOR;;1515/27;1-30;O*
4;DTG AT TRANSIT POINT;;;4A;DTG OF ARRIVAL;;2033;14-14;C*
5;TRANSIT POINT LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C*
;TRANSIT POINT LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TRANSIT POINT LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TRANSIT POINT LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TRANSIT POINT LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TRANSIT POINT LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
