FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFICATION;;;1A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-24;M
;UNIT IDENTIFICATION;;;1B;UNIT DESIGNATOR;UNIT;1028/43;;
2;AEW SORTIE NUMBER;;;2A;AEW SORTIE NUMBER;;2463;3-8;M
3;AEW MISSION ENVIRONMENT;;;3A;AEW MISSION ENVIRONMENT;;1285/4;1-1;M
4;PRIORITY IDENTIFIER;;;4A;PRIORITY IDENTIFIER;;1076/20;2-2;M
5;AEW REQUEST IDENTIFIER;;;5A;AEW REQUEST IDENTIFIER;;1012/17;1-13;M
6;LOCATION NAME;;;6A;LOCATION NAME;;1022/4;1-20;M
7;ON STATION TIME;;;7A;DTG ON STATION;;2033;9-14;M
;ON STATION TIME;;;7B;DATE ON STATION;;2001;;
8;OFF STATION TIME;;;8A;DTG OFF STATION;;2033;9-14;M
;OFF STATION TIME;;;8B;DATE OFF STATION;;2001;;
9;TACTICAL CONTROL AUTHORITY;;;9A;TACTICAL CONTROL AUTHORITY;;1028/12;1-20;M
10;AEW MISSION TYPE;;;10A;AEW MISSION TYPE;;1285/7;1-2;M
