FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AEW SORTIE NUMBER;;;1A;AEW SORTIE NUMBER;;2463;3-8;M
2;AEW REQUEST IDENTIFIER;;;2A;AEW REQUEST IDENTIFIER;;1012/17;1-13;M
3;MISSION NUMBER;;;3A;MISSION NUMBER;;1012/69;1-8;M
4;UNIT IDENTIFICATION;;;4A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-24;M
;UNIT IDENTIFICATION;;;4B;UNIT DESIGNATOR;UNIT;1028/43;;
5;AEW AIRCRAFT;;;5A;AEW AIRCRAFT;;1015/14;3-6;M
6;AIRCRAFT CALL SIGN;;;6A;AIRCRAFT CALL SIGN;;1129/9;1-38;M
7;MISSION CALL SIGN;;;7A;MISSION CALL SIGN;;1129/21;1-38;M
8;DEPARTURE LOCATION;;;8A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-20;M
;DEPARTURE LOCATION;;;8B;ICAO BASE CODE;ICAO;1125/2;;
;DEPARTURE LOCATION;;;8C;LOCATION NAME;NAME;1022/4;;
9;DTG OF DEPARTURE;;;9A;DTG OF DEPARTURE;;2033;14-14;M
10;ARRIVAL LOCATION;;;10A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-20;M
;ARRIVAL LOCATION;;;10B;ICAO BASE CODE;ICAO;1125/2;;
;ARRIVAL LOCATION;;;10C;LOCATION NAME;NAME;1022/4;;
11;DTG OF ARRIVAL;;;11A;DTG OF ARRIVAL;;2033;14-14;M
12;AMSH 1707 CALL SIGN;;;12A;AMSH 1707 CALL SIGN;;1129/6;3-3;O
13;MODE 2 IFF SETTING;;;13A;IFF SIF CODE;;1303/1;2-24;O
