FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AEW BARRIER DESIGNATOR;;;1A;AEW BARRIER DESIGNATOR;;1102/5;1-2;M
2;LOWER ALTITUDE LIMIT;;;2A;MINIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;LOWER ALTITUDE LIMIT;;;2B;MINIMUM FLIGHT LEVEL;;2129;;
3;UPPER ALTITUDE LIMIT;;;3A;MAXIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;UPPER ALTITUDE LIMIT;;;3B;MAXIMUM FLIGHT LEVEL;;2129;;
4;PRIMARY FREQUENCY;;;4A;PRIMARY FREQUENCY;;2064;1-14;M
;PRIMARY FREQUENCY;;;4B;COMMUNICATIONS NET DESIGNATOR;CND;1305/1;;
5;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;;5A;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;2080;3-5;M
6;ALTERNATE FREQUENCY;;;6A;ALTERNATE FREQUENCY;;2064;1-14;M*
;ALTERNATE FREQUENCY;;;6B;COMMUNICATIONS NET DESIGNATOR;CND;1305/1;;
7;MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER;;;7A;MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER;;2080;3-5;M*
