FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFICATION;;;1A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-24;M
;UNIT IDENTIFICATION;;;1B;UNIT DESIGNATOR;UNIT;1028/43;;
2;AEW AIRCRAFT;;;2A;AEW AIRCRAFT;;1015/14;3-6;M
3;AIRCRAFT CALL SIGN;;;3A;AIRCRAFT CALL SIGN;;1129/9;1-38;M
4;MISSION CALL SIGN;;;4A;MISSION CALL SIGN;;1129/21;1-38;M
5;DEPARTURE LOCATION;;;5A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-20;M
;DEPARTURE LOCATION;;;5B;ICAO BASE CODE;ICAO;1125/2;;
;DEPARTURE LOCATION;;;5C;LOCATION NAME;NAME;1022/4;;
6;DEPARTURE TIME;;;6A;DTG OF DEPARTURE;;2033;14-14;M
7;ARRIVAL LOCATION;;;7A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-20;M
;ARRIVAL LOCATION;;;7B;ICAO BASE CODE;ICAO;1125/2;;
;ARRIVAL LOCATION;;;7C;LOCATION NAME;NAME;1022/4;;
8;ARRIVAL TIME;;;8A;DTG OF ARRIVAL;;2033;14-14;M
9;AMSH 1707 CALL SIGN;;;9A;AMSH 1707 CALL SIGN;;1129/6;3-3;O
10;MODE 2 IFF SETTING;;;10A;MODE 2 IFF SETTING;;1303/2;4-4;O
