FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRCRAFT EVENT NUMBER;;;1A;AIRCRAFT EVENT NUMBER;;1012/23;3-4;M
;AIRCRAFT EVENT NUMBER;;;1B;EXERCISE AIRCRAFT EVENT NUMBER;;1012/24;;
2;NUMBER OF AIRCRAFT, 00-99;;;2A;NUMBER OF AIRCRAFT, 00-99;;1044/3;2-2;M
3;AIRCRAFT TYPE;;;3A;AIRCRAFT CODE;;1015/2;2-10;M
;AIRCRAFT TYPE;;;3B;AIRCRAFT TYPE;ACTYP;1015/1;;
4;AIRCRAFT VARIANT;;;4A;AIRCRAFT VARIANT;;1219/2;1-2;M
5;GEOGRAPHICAL ENTITY;;;5A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
6;INCIDENT POSITION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;INCIDENT POSITION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;INCIDENT POSITION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;INCIDENT POSITION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;INCIDENT POSITION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;INCIDENT POSITION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
7;TIME OF INCIDENT;;;7A;DAY-TIME OF INCIDENT;;2000;5-7;M
;TIME OF INCIDENT;;;7B;DAY-MONTH NAME OF INCIDENT;;2067;;
8;STATUS OF ENEMY AIRCRAFT;;;8A;STATUS OF ENEMY AIRCRAFT;;1236/13;5-5;M
9;ESTIMATED DAMAGE;;;9A;ESTIMATED DAMAGE;;2094;4-4;O
10;STATUS VALIDITY;;;10A;STATUS VALIDITY;;1067/1;3-4;O
