FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTACT SERIAL NUMBER;;;1A;CONTACT SERIAL NUMBER;;1012/67;1-3;M
2;UNIT;;;2A;UNIT;;1022/57;1-30;M
3;LOCATING REPORT NUMBER;;;3A;LOCATING REPORT NUMBER;LR;2296;3-4;M
;LOCATING REPORT NUMBER;;;3B;NOT REPORTED IN FLIGHT;;1449/1;;
4;AIRCRAFT TYPE/MODEL;;;4A;AIRCRAFT TYPE MODEL;;1015/4;2-6;M
5;CREDIBILITY;;;5A;CREDIBILITY;;1461/1;3-4;M
6;NUMBER OF AIRCRAFT, 1-99;;;6A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;M
7;FLAG;;;7A;FLAG;;1026/3;2-2;M
8;CONTACT PHOTO STATUS;;;8A;CONTACT PHOTO STATUS;;1450/1;3-3;M
9;ALTITUDE;;;9A;AIRCRAFT CONTACT ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;O
;ALTITUDE;;;9B;FLIGHT LEVEL;;2129;;
