FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LEG IDENTIFICATION NUMBER;;;1A;LEG IDENTIFICATION NUMBER;;1012/247;1-4;M
2;AIRLIFT MISSION NUMBER;;;2A;AIRLIFT MISSION NUMBER;;1012/241;1-12;M
3;MISSION LEG IDENTIFIER;;;3A;ICAO BASE CODE;;1125/2;4-4;M
;MISSION LEG IDENTIFIER;;;3B;SPECIFIED GEOLOCATION CODE;G;1125/11;;
4;CREW TYPE;;;4A;CREW TYPE;;1806/1;1-1;M
5;DELIVERY METHOD;;;5A;DELIVERY METHOD;;1349/1;4-4;O
6;ARRIVAL TIME;;;6A;DAY-TIME AND MONTH OF SCHEDULED ARRIVAL;;2030;8-10;O
;ARRIVAL TIME;;;6B;JULIAN DAY-TIME OF ARRIVAL;;2484;;
7;AIRLIFT ACTIVITY PURPOSE;;;7A;AIRLIFT ACTIVITY PURPOSE;;2499;3-3;M
8;DEPARTURE TIME;;;8A;DAY-TIME OF DEPARTURE;;2000;7-8;O
;DEPARTURE TIME;;;8B;JULIAN DAY-TIME OF DEPARTURE;;2484;;
9;REQUIREMENT NUMBER;;;9A;REQUIREMENT NUMBER;;1012/248;6-6;O
10;MISSION PRIORITY IDENTIFIER;;;10A;MISSION PRIORITY IDENTIFIER;;1076/10;3-3;O
11;ROUTE COMMENT;;;11A;ROUTE COMMENT;;1357/22;1-10;O
