FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1A;TRANSPORTATION REQUIREMENT IDENTIFIER;ID;1102/11;1-10;M
;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1B;UNIT LINE NUMBER;ULN;1012/246;;
;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1C;UNIT IDENTIFICATION CODE (UIC2);;2243;;
;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1D;UNIT IDENTIFICATION CODE (UIC3);;2241;;
;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1E;PERSONNEL INCREMENT NUMBER;PIN;1012/251;;
;TRANSPORTATION REQUIREMENT IDENTIFIER;;;1F;CARGO INCREMENT NUMBER;CIN;1012/252;;
2;AIRPORT OF EMBARKATION;;;2A;ICAO CODE - AIRPORT OF EMBARKATION;ICAO;1125/12;4-4;M
;AIRPORT OF EMBARKATION;;;2B;SPECIFIED GEOLOCATION CODE;GEO;1125/11;;
3;DATE OF DEPARTURE;;;3A;DTG OF DEPARTURE;DTG;2033;7-14;O
;DATE OF DEPARTURE;;;3B;DAY-TIME OF DEPARTURE;DT;2000;;
;DATE OF DEPARTURE;;;3C;JULIAN DAY-TIME OF DEPARTURE;JDT;2484;;
4;AIRPORT OF DEBARKATION;;;4A;ICAO CODE - AIRPORT OF DEBARKATION;ICAO;1125/7;4-4;M
;AIRPORT OF DEBARKATION;;;4B;SPECIFIED GEOLOCATION CODE;GEO;1125/11;;
5;DATE OF ARRIVAL;;;5A;DTG OF SCHEDULED ARRIVAL;DTG;2033;7-14;O
;DATE OF ARRIVAL;;;5B;DAY-TIME OF ARRIVAL;DT;2000;;
;DATE OF ARRIVAL;;;5C;JULIAN DAY-TIME OF ARRIVAL;JDT;2484;;
6;DELIVERY METHOD;;;6A;DELIVERY METHOD;;1349/1;4-4;O
7;REQUIREMENT NUMBER;;;7A;REQUIREMENT NUMBER;;1012/248;6-6;O
8;MISSION PRIORITY IDENTIFIER;;;8A;MISSION PRIORITY IDENTIFIER;;1076/10;3-3;O
