FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NATIONALITY;;;1A;NATIONALITY (2A);;1262/5;2-3;M
;NATIONALITY;;;1B;NATIONALITY (3A);;1262/2;;
;NATIONALITY;;;1C;EXERCISE GEOGRAPHICAL ENTITY;;1262/4;;
2;ARMED SERVICE CODE;;;2A;ARMED SERVICE CODE;;1107/2;1-1;M
3;UNIT IDENTIFIER;;;3A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;UNIT IDENTIFIER;;;3B;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;UNIT IDENTIFIER;;;3C;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
4;BASE IDENTIFIER;;;4A;ICAO LOCATION INDICATOR;ICAO;1125/1;1-22;O
;BASE IDENTIFIER;;;4B;PLACE NAME;NAME;1022/170;;
;BASE IDENTIFIER;;;4C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;BASE IDENTIFIER;;;4D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
5;LOCATION IDENTIFIER;;;5A;LOCATION OR POSITION NAME;;1022/6;1-15;O
6;GROUND BASED AIR DEFENCE SYSTEMS;;;6A;SURFACE-TO-AIR WEAPON SYSTEM;SAW;1407/2;1-20;M
;GROUND BASED AIR DEFENCE SYSTEMS;;;6B;SURFACE-TO-AIR WEAPON SYSTEM TYPE, OTHER;OTHSAW;1407/24;;
7;PRIMARY ROLE;;;7A;PRIMARY SURFACE-TO-AIR MISSION TYPE;;1285/36;2-3;M
8;SECONDARY ROLE;;;8A;SECONDARY SURFACE-TO-AIR MISSION TYPE;;1285/37;2-3;O
9;FIRE UNITS NUMBER;;;9A;NUMBER OF FIRE UNITS;;1044/37;1-2;O
10;LAUNCHERS NUMBER;;;10A;NUMBER OF LAUNCHERS;;1044/38;1-3;O
11;MISSILES NUMBER;;;11A;NUMBER OF MISSILES;;1044/323;1-3;O
12;START OF ALLOCATION PERIOD;;;12A;DTG OF START;;2033;14-14;O
13;STOP TIME OF ALLOCATION PERIOD;;;13A;DTG OF STOP;;2033;14-14;C
14;UNIT REMARKS;;;14A;REMARKS;;1357/28;1-68;O
