FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RESIDUAL MISSION INDICATOR;;;1A;RESIDUAL MISSION INDICATOR;;1084/8;1-1;M
2;MISSION NUMBER;;;2A;MISSION NUMBER;;1012/69;1-8;M
3;AIRLIFT MISSION NUMBER OR EVENT NUMBER;;;3A;AIRLIFT MISSION NUMBER;AMC;1012/241;1-12;O
;AIRLIFT MISSION NUMBER OR EVENT NUMBER;;;3B;AIRCRAFT EVENT NUMBER;EVT;1012/23;;
4;PACKAGE IDENTIFICATION;;;4A;PACKAGE IDENTIFICATION;;1028/38;1-5;O
5;MISSION COMMANDER DESIGNATOR;;;5A;MISSION COMMANDER DESIGNATOR;;1515/5;2-2;O
6;COMPOSITE AIR OPERATIONS (COMAO) IDENTIFIER;;;6A;COMPOSITE AIR OPERATIONS (COMAO) IDENTIFIER;;1012/277;1-15;O
7;PRIMARY AERIAL MISSION TYPE;;;7A;PRIMARY AERIAL MISSION TYPE;;1285/31;2-6;M
8;SECONDARY AERIAL MISSION TYPE;;;8A;SECONDARY AERIAL MISSION TYPE;;1285/32;2-6;O
9;AIRCRAFT ALERT STATUS;;;9A;AIRCRAFT ALERT STATUS, HOURS;;2139;2-4;C
;AIRCRAFT ALERT STATUS;;;9B;AIRCRAFT ALERT STATUS, MINUTES;;2142;;
;AIRCRAFT ALERT STATUS;;;9C;AIRCRAFT ALERT CODE;;1798/2;;
;AIRCRAFT ALERT STATUS;;;9D;AIRCRAFT ALERT READINESS STATE;;1798/3;;
10;DEPARTURE LOCATION;;;10A;ICAO DEPARTURE LOCATION;DEPLOC;1125/4;1-22;O
;DEPARTURE LOCATION;;;10B;DEPARTURE LOCATION NAME;DEPNAME;1022/84;;
;DEPARTURE LOCATION;;;10C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;DEPARTURE LOCATION;;;10D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
11;DEPARTURE DATE;;;11A;DAY-TIME AND MONTH OF DEPARTURE;;2030;10-10;O
12;RECOVERY LOCATION;;;12A;ICAO RECOVERY BASE;ARRLOC;1125/5;1-22;O*
;RECOVERY LOCATION;;;12B;RECOVERY LOCATION NAME;ARRNAME;1022/10;;
;RECOVERY LOCATION;;;12C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;RECOVERY LOCATION;;;12D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
13;RECOVERY DATE;;;13A;DAY-TIME AND MONTH OF RECOVERY;;2030;10-10;O*
