FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ANCHORAGE IDENTIFIER;;;1A;ANCHORAGE IDENTIFIER;;1012/696;2-17;M
2;ANCHORAGE LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;ANCHORAGE LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ANCHORAGE LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ANCHORAGE LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ANCHORAGE LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ANCHORAGE LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
4;ASSIGNED SHIP NAME OR CALL SIGN;;;4A;SHIP NAME;;1022/49;1-38;O
;ASSIGNED SHIP NAME OR CALL SIGN;;;4B;CALL SIGN;CALLSIGN;1129/1;;
5;DTG OF START;;;5A;DTG OF START;;2033;14-14;O
6;DTG OF STOP;;;6A;DTG OF STOP;;2033;14-14;O
