FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MODIFIER TYPE;;;1A;MODIFIER TYPE;;1156/6;3-3;M
2;TARGET NUMBER;;;2A;TARGET REFERENCE NUMBER;;1012/96;1-10;M
3;TARGET LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;TARGET LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TARGET LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TARGET LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TARGET LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;TARGET GROUP NUMBER;;;4A;TARGET GROUP NUMBER;;1012/54;2-6;M
5;TARGET DESCRIPTION;;;5A;TARGET DESCRIPTION;;1363/4;1-20;M
