FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF ACTIVATION;;;1A;DTG OF ACTIVATION;;2033;14-14;M
2;DEACTIVATION TIME;;;2A;DTG OF DEACTIVATION;;2033;3-14;M
;DEACTIVATION TIME;;;2B;STOP TIME QUALIFIER;;1220/8;;
3;MAXIMUM ALTITUDE OR FLIGHT LEVEL;;;3A;MARITIME ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;MAXIMUM ALTITUDE OR FLIGHT LEVEL;;;3B;FLIGHT LEVEL;;2129;;
4;MAXIMUM DEPTH, FEET OR METRES, DECIMAL PERMITTED;;;4A;MAXIMUM DEPTH, FEET OR METRES, DECIMAL PERMITTED;;2264;2-7;M
5;GEOGRAPHIC DEFINITION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;GEOGRAPHIC DEFINITION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC DEFINITION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC DEFINITION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC DEFINITION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC DEFINITION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;GEOGRAPHIC DEFINITION;;;5G;SEGMENT PARAMETER;SEG;1527/1;;
