FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FIRST POINT OF THE ORBIT;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;FIRST POINT OF THE ORBIT;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FIRST POINT OF THE ORBIT;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FIRST POINT OF THE ORBIT;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FIRST POINT OF THE ORBIT;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FIRST POINT OF THE ORBIT;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;SECOND POINT OF THE ORBIT;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;SECOND POINT OF THE ORBIT;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SECOND POINT OF THE ORBIT;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SECOND POINT OF THE ORBIT;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SECOND POINT OF THE ORBIT;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SECOND POINT OF THE ORBIT;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;WIDTH, M, KM, NM;;;3A;WIDTH, M, KM, NM;;2123;2-7;M
4;ORBIT ALIGNMENT;;;4A;ORBIT ALIGNMENT;;1586/4;1-1;M
