FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FLAG;;;1A;FLAG;;1026/3;2-2;M
2;UNIT NAME OR DESIGNATOR;;;2A;UNIT NAME;;1022/48;1-38;M*
;UNIT NAME OR DESIGNATOR;;;2B;NAVAL TASK DESIGNATOR;NTD;2143;;
3;LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M*
;LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;3G;SHIP NAME;SHIP;1022/49;;
;LOCATION;;;3H;PLACE NAME;NAME;1022/170;;
