FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;APPROACH CORRIDOR IDENTIFIER;;;1A;APPROACH CORRIDOR IDENTIFIER;;1128/6;3-5;M
2;ORIGIN CALLSIGN;;;2A;CALL SIGN;CALLSIGN;1129/1;1-38;M
;ORIGIN CALLSIGN;;;2B;UNIT;;1022/57;;
;ORIGIN CALLSIGN;;;2C;CODE NAME;CODE;1022/96;;
3;BEARING, QUALIFIED;;;3A;BEARING, QUALIFIED;;2159;4-6;M
4;WIDTH OF CORRIDOR;;;4A;WIDTH;W;2062;1-8;M
;WIDTH OF CORRIDOR;;;4B;ANGLE EITHER SIDE OF AXIS;;1043/12;;
5;LENGTH;;;5A;LENGTH;;2309;2-8;M
6;TACAN CHANNEL;;;6A;TACAN CHANNEL;TACAN;1012/14;1-4;M
7;LOWER ALTITUDE LIMIT;;;7A;MINIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;LOWER ALTITUDE LIMIT;;;7B;MINIMUM FLIGHT LEVEL;;2129;;
8;UPPER ALTITUDE LIMIT;;;8A;MAXIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;UPPER ALTITUDE LIMIT;;;8B;MAXIMUM FLIGHT LEVEL;;2129;;
9;START TIME;;;9A;DAY-TIME START;;2000;7-10;M
;START TIME;;;9B;DAY-TIME AND MONTH OF START;;2030;;
10;END TIME;;;10A;DAY-TIME STOP;;2000;7-10;M
;END TIME;;;10B;DAY-TIME AND MONTH OF STOP;;2030;;
11;CHECKPOINT NAME;;;11A;CHECKPOINT NAME;;1022/53;4-8;M
12;CHECKPOINT DISTANCE;;;12A;CHECKPOINT DISTANCE;;2158;2-8;M
13;APPROACH SPEED IN KNOTS;;;13A;APPROACH SPEED IN KNOTS;;1061/13;1-3;M
