FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;APPROACH SECTOR LETTER OR NUMBER;;;1A;PHONETIC ALPHABETIC IDENTIFIER;;1128/2;4-14;M
;APPROACH SECTOR LETTER OR NUMBER;;;1B;PHONETIC ALPHABETIC-NUMERIC IDENTIFIER;;2406;;
;APPROACH SECTOR LETTER OR NUMBER;;;1C;PHONETIC IDENTIFIER;;2407;;
2;ORIGIN OR POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-27;M
;ORIGIN OR POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ORIGIN OR POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ORIGIN OR POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ORIGIN OR POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ORIGIN OR POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ORIGIN OR POSITION;;;2G;ORIGIN PLACE NAME;PLACE;1022/109;;
;ORIGIN OR POSITION;;;2H;ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT;BAR;2307;;
3;BEARING, QUALIFIED;;;3A;BEARING, QUALIFIED;;2159;4-6;M
4;ANGLE EITHER SIDE OF AXIS;;;4A;ANGLE EITHER SIDE OF AXIS;;1043/12;1-3;M
5;LOWER ALTITUDE LIMIT;;;5A;MINIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;LOWER ALTITUDE LIMIT;;;5B;MINIMUM FLIGHT LEVEL;;2129;;
6;UPPER ALTITUDE LIMIT;;;6A;MAXIMUM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;UPPER ALTITUDE LIMIT;;;6B;MAXIMUM FLIGHT LEVEL;;2129;;
7;SAFETY DISTANCE;;;7A;SAFETY DISTANCE;;2158;2-8;M
8;START TIME;;;8A;DAY-TIME START;;2000;7-10;M
;START TIME;;;8B;DAY-TIME AND MONTH OF START;;2030;;
9;END TIME;;;9A;DAY-TIME STOP;;2000;7-10;M
;END TIME;;;9B;DAY-TIME AND MONTH OF STOP;;2030;;
