FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CALL SIGN;;;1A;CONTACT CALL SIGN;;1129/31;1-20;M
2;MISSION NUMBER;;;2A;MISSION NUMBER;;1012/69;1-8;M
3;IFF/SIF MODE AND CODE;;;3A;IFF/SIF MODE AND CODE, NON HYPHENATED;;2500;3-25;M
4;AIR REFUELLING CONTROL POINT;;;4A;AIR REFUELING CONTROL POINT;NAME;1022/99;1-54;M
;AIR REFUELLING CONTROL POINT;;;4B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;AIR REFUELLING CONTROL POINT;;;4C;AIR REFUELLING CONTROL POINT, BEARING AND DISTANCE;BAR;2157;;
5;REFUELLING ALTITUDE;;;5A;REFUELLING ALTITUDE IN HUNDREDS OF FEET;;1255/2;3-3;M
6;DAY-TIME OF AIR REFUELLING CONTROL;;;6A;DAY-TIME OF AIR REFUELLING CONTROL;ARCT;2000;7-7;M
7;DAY-TIME AND MONTH OF END AIR REFUELLING;;;7A;DAY-TIME AND MONTH OF END AIR REFUELLING;NDAR;2030;10-10;O
8;OFF LOAD FUEL QUANTITY;;;8A;OFF LOAD FUEL QUANTITY (HKG OR KLB);;2468;7-10;M
9;FUEL TYPE;;;9A;REFUELLING FUEL GRADE;GRADE;1803/4;3-5;M
;FUEL TYPE;;;9B;NATO STANDARD AVIATION FUEL TYPE;NFUEL;1172/3;;
10;PRIMARY COMMUNICATION PARAMETERS;;;10A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;10B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;10C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;10D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
11;SECONDARY COMMUNICATION PARAMETERS;;;11A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;11B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;11C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;11D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
12;LINK 16 CALL SIGN;;;12A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
13;TYPE OF REFUELLING AIRCRAFT;;;13A;REFUELLING AIRCRAFT TYPE;ACTYP;1015/19;2-10;O
;TYPE OF REFUELLING AIRCRAFT;;;13B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
14;AERIAL REFUELLING SYSTEM;;;14A;AERIAL REFUELLING SYSTEM, SPECIFIC;;1579/2;3-3;O
15;AAR TRACK/AREA;;;15A;TOWLINE NUMBER;TL;1012/31;1-20;O
;AAR TRACK/AREA;;;15B;AAR TRACK AREA;AAR;1022/30;;
16;NUMBER OF AIRCRAFT IN CELL;;;16A;NUMBER OF AIRCRAFT IN CELL;;1044/329;1-2;O
17;CELL SEQUENCE NUMBER(S);;;17A;CELL SEQUENCE NUMBER;TNKR;1012/253;1-3;O
;CELL SEQUENCE NUMBER(S);;;17B;CELL SEQUENCE NUMBERS;TNKRS;2436;;
18;TACAN CHANNEL;;;18A;TACAN CHANNEL, RECEIVER AND TANKER;;2486;5-9;O
19;BEACON;;;19A;BEACON;;2497;5-5;O
20;TYPE OF RENDEZVOUS;;;20A;TYPE OF AIR REFUELLING RENDEZVOUS;;1299/11;7-10;O
21;TANKER UNIT REFERNCE NUMBER;;;21A;TANKER UNIT REFERENCE NUMBER;URN;1028/40;8-8;O
22;TANKER INTERNET ADDRESS;;;22A;TANKER INTERNET ADDRESS, IPV4;IPV4;2004;2-45;O
;TANKER INTERNET ADDRESS;;;22B;TANKER INTERNET ADDRESS, IPV6;IPV6;1999/2;;
23;TANKER DATA LINK ADDRESS;;;23A;TANKER DATA LINK ADDRESS;;1012/100;3-3;O
