FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AERIAL MISSION SUPPORT TYPE;;;1A;PRIMARY AERIAL MISSION TYPE;;1285/31;2-6;M
2;UNIT IDENTIFIER;;;2A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-24;M
;UNIT IDENTIFIER;;;2B;UNIT DESIGNATOR;UNIT;1028/43;;
3;MISSION NUMBER;;;3A;MISSION NUMBER;;1012/69;1-8;M
4;CALL SIGN;;;4A;CONTACT CALL SIGN;;1129/31;1-20;O
5;LINK 16 CALL SIGN;;;5A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
6;NUMBER OF ASSETS;;;6A;NUMBER OF ASSETS, 1-999;;1044/802;1-3;O
7;SUPPORTING AIRCRAFT OR VEHICLE;;;7A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;1-23;C
;SUPPORTING AIRCRAFT OR VEHICLE;;;7B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
;SUPPORTING AIRCRAFT OR VEHICLE;;;7C;VEHICLE NAME;NAME;1022/224;;
;SUPPORTING AIRCRAFT OR VEHICLE;;;7D;AIRCRAFT CATEGORY, ABBREVIATED;ACCAT;1549/2;;
8;PRIMARY COMMUNICATION PARAMETERS;;;8A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;O
;PRIMARY COMMUNICATION PARAMETERS;;;8B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;8C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;8D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
9;SECONDARY COMMUNICATION PARAMETERS;;;9A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;C
;SECONDARY COMMUNICATION PARAMETERS;;;9B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;9C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;9D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
