FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG OF ARRIVAL;;;1A;DTG OF ARRIVAL;;2033;14-14;M
2;AOA ARRIVAL POINT;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;AOA ARRIVAL POINT;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AOA ARRIVAL POINT;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AOA ARRIVAL POINT;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AOA ARRIVAL POINT;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AOA ARRIVAL POINT;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;GEODETIC DATUM;;;3A;GEODETIC DATUM;;1195/1;3-6;O
4;AOA APPROACH FORMATION;;;4A;AOA APPROACH FORMATION;;1022/331;1-20;O
5;FORMATION GUIDE NAME;;;5A;FORMATION GUIDE NAME;;1022/145;1-38;C
6;INTERVAL SPACING, YARDS;;;6A;INTERVAL SPACING, YARDS;;1218/3;1-5;C
7;FORMATION SPEED IN KNOTS;;;7A;FORMATION SPEED IN KNOTS;;1061/3;1-2;C
8;SHIP ENTRY SEQUENCE;;;8A;SHIP ENTRY SEQUENCE;;1022/339;1-38;C*
