FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CALL SIGN;;;1A;CONTACT CALL SIGN;;1129/31;1-20;M
2;TRANSMIT FREQUENCY;;;2A;TRANSMIT FREQUENCY;TFREQ;2064;3-14;M
;TRANSMIT FREQUENCY;;;2B;TRANSMIT LINE NUMBER;TLN;1012/117;;
3;RECEIVE FREQUENCY;;;3A;RECEIVE FREQUENCY;RFREQ;2064;3-14;M
;RECEIVE FREQUENCY;;;3B;RECEIVE LINE NUMBER;RLN;1012/118;;
4;LINK 16 CALL SIGN;;;4A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
5;MINIMUM FLIGHT LEVEL/MINIMUM ALTITUDE IN HUNDREDS OF FEET;;;5A;MINIMUM ALTITUDE, HUNDREDS OF FEET;ALT;1255/4;3-5;O*
;MINIMUM FLIGHT LEVEL/MINIMUM ALTITUDE IN HUNDREDS OF FEET;;;5B;MINIMUM FLIGHT LEVEL;;2129;;
6;STATION POSITION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;O*
;STATION POSITION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;STATION POSITION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;STATION POSITION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;STATION POSITION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;STATION POSITION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;STATION POSITION;;;6G;REFERENCE POINT NAME;NAME;1022/2;;
;STATION POSITION;;;6H;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
