FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BASE IDENTIFIER;;;1A;BASE NAME;NAME;1022/104;1-20;M
;BASE IDENTIFIER;;;1B;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;BASE IDENTIFIER;;;1C;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
;BASE IDENTIFIER;;;1D;ICAO LOCATION INDICATOR;ICAO;1125/1;;
2;BASE LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;BASE LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;BASE LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;BASE LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;BASE LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;BASE LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;BASE LOCATION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
3;ELEVATION;;;3A;ELEVATION IN FEET;FT;1799/1;4-5;O
;ELEVATION;;;3B;ELEVATION IN METRES ABOVE MSL;MT;1344/1;;
