FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;THE WATCH TIME;;;1A;DTG;;2033;14-14;M
2;THE PRIMARY BROADCAST IDENTIFIER;;;2A;PRIMARY BROADCAST IDENTIFIER;;2144;4-5;M
3;CRYPTO ZERO TIME FOR PRIMARY BROADCAST;;;3A;DAY-TIME OF ZERO START;;2000;7-7;M
4;THE PRIMARY BROADCAST KEYMAT;;;4A;PRIMARY BROADCAST KEYMAT;;1078/2;8-20;M
5;THE SECONDARY BROADCAST IDENTIFIER;;;5A;SECONDARY BROADCAST IDENTIFIER;;2144;4-5;M
6;CRYPTO ZERO TIME FOR SECONDARY BROADCAST;;;6A;DAY-TIME OF ZERO START;;2000;7-7;M
7;THE SECONDARY BROADCAST KEYMAT;;;7A;SECONDARY BROADCAST KEYMAT;;1078/3;8-20;M
8;AUTHORITY RESPONSIBLE FOR THE FIRST-LAST NUMBERS REPORTED;;;8A;NAME OF FIRST-LAST NUMBER COORDINATOR;;1022/125;1-30;M
9;UNIT RESPONSIBLE FOR REPORTING;;;9A;NAME OF MISSING NUMBER COORDINATOR;;1022/127;1-30;M*
10;THE TASK ORIGINATOR OR UNIT REQUIRED TO COPY BROADCAST;;;10A;UNIT;;1022/57;1-30;M*
