FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SET WATCH;;;1A;DAY-TIME SET WATCH;;2000;7-7;M
2;AREA BROADCAST;;;2A;AREA BROADCAST DESIGNATOR;;2144;1-7;M
;AREA BROADCAST;;;2B;SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;2028;;
;AREA BROADCAST;;;2C;NAVAL AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER;;1012/18;;
;AREA BROADCAST;;;2D;LOCAL/HARBOUR COMMUNICATION IDENTIFIER;;2031;;
;AREA BROADCAST;;;2E;BROADCAST CALL SIGN;BCS;1129/4;;
;AREA BROADCAST;;;2F;MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;2359;;
3;SHIFT WATCH;;;3A;DAY-TIME SHIFT WATCH;;2000;7-7;O*
4;AREA BROADCAST SHIFT;;;4A;AREA BROADCAST DESIGNATOR;;2144;1-7;O*
;AREA BROADCAST SHIFT;;;4B;SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;2028;;
;AREA BROADCAST SHIFT;;;4C;NAVAL AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER;;1012/18;;
;AREA BROADCAST SHIFT;;;4D;LOCAL/HARBOUR COMMUNICATION IDENTIFIER;;2031;;
;AREA BROADCAST SHIFT;;;4E;BROADCAST CALL SIGN;BCS;1129/4;;
;AREA BROADCAST SHIFT;;;4F;MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;2359;;
