FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOWER LIMIT;;;1A;BOUNDARY LOWER LIMIT, SPEED IN KNOTS;SPD;2370;4-6;M*
;LOWER LIMIT;;;1B;BOUNDARY LOWER LIMIT, FLIGHT LEVEL;;2129;;
;LOWER LIMIT;;;1C;BOUNDARY LOWER LIMIT, ALTITUDE IN HUNDREDS OF FEET;;2164;;
;LOWER LIMIT;;;1D;LOWER LIMIT, HEADING;HDG;2368;;
;LOWER LIMIT;;;1E;ABOVE MEAN SEA LEVEL DATA QUALIFIER;;1130/41;;
2;UPPER LIMIT;;;2A;BOUNDARY UPPER LIMIT, SPEED IN KNOTS;SPD;2370;4-6;M*
;UPPER LIMIT;;;2B;BOUNDARY UPPER LIMIT, FLIGHT LEVEL;;2129;;
;UPPER LIMIT;;;2C;BOUNDARY UPPER LIMIT, ALTITUDE IN HUNDREDS OF FEET;;2164;;
;UPPER LIMIT;;;2D;UPPER LIMIT, HEADING;HDG;2368;;
;UPPER LIMIT;;;2E;ABOVE MEAN SEA LEVEL DATA QUALIFIER;;1130/41;;
