FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TIME OF SONOBUOY DROP;;;1A;DAY-TIME OF SONOBUOY DROP;;2000;7-7;M
2;SONOBUOY RELEASE POINT;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;SONOBUOY RELEASE POINT;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SONOBUOY RELEASE POINT;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SONOBUOY RELEASE POINT;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SONOBUOY RELEASE POINT;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SONOBUOY RELEASE POINT;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;SONOBUOY TYPE;;;3A;SONOBUOY TYPE;;1444/1;5-8;M
4;HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED;;;4A;HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED;;2264;2-7;M
5;SONOBUOY LIFE SETTING, HOURS OR MINUTES;;;5A;SONOBUOY LIFE SETTING, HOURS OR MINUTES;;2288;3-6;M
6;SONOBUOY CHANNEL NUMBER;;;6A;SONOBUOY CHANNEL NUMBER;;2295;4-4;M
