FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PASSABILITY;;;1A;PASSABILITY;;1848/1;4-5;M
2;BYPASS LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;BYPASS LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;BYPASS LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;BYPASS LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;BYPASS LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;BYPASS LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;BYPASS DESCRIPTION;;;3A;BYPASS DESCRIPTION;;1363/63;1-38;C
4;LENGTH OF BYPASS;;;4A;LENGTH OF BYPASS;LE;2454;2-7;C
5;WIDTH OF BYPASS IN FEET, YARDS OR METRES;;;5A;WIDTH OF BYPASS IN FEET, YARDS OR METRES;WI;2451;2-7;C
6;HEIGHT OF BYPASS IN FEET, YARDS OR METRES;;;6A;HEIGHT OF BYPASS IN FEET, YARDS OR METRES;HI;2452;2-7;C
