FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CAP MISSION;;;1A;CAP MISSION;;1285/13;5-8;M
2;AIRCRAFT STATION IDENTIFIER;;;2A;COMBAT AIR PATROL STATION IDENTIFIER;;2237;1-13;M
;AIRCRAFT STATION IDENTIFIER;;;2B;AIRCRAFT STATION NUMBER;;1012/120;;
3;CAP STATION LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-48;M
;CAP STATION LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CAP STATION LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CAP STATION LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CAP STATION LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CAP STATION LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CAP STATION LOCATION;;;3G;STATION ASSIGNMENT NAME;NAME;1022/124;;
;CAP STATION LOCATION;;;3H;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;TBRN;2016;;
4;ALTITUDE OR FLIGHT LEVEL;;;4A;FLIGHT LEVEL NUMBER;FL;1012/42;1-3;M
;ALTITUDE OR FLIGHT LEVEL;;;4B;ALTITUDE IN HUNDREDS OF FEET;ALT;1255/1;;
;ALTITUDE OR FLIGHT LEVEL;;;4C;ALTITUDE INDICATOR, ABBREVIATED;;1540/3;;
5;AXIS, QUALIFIED;;;5A;AXIS, QUALIFIED;;2159;4-6;M
6;CHANNEL/LEG DISTANCE;;;6A;CHANNEL/LEG DISTANCE;;2158;2-8;M
7;PRIMARY FREQUENCY;;;7A;PRIMARY FREQUENCY;;2064;3-14;M
8;PRIMARY COMMUNICATIONS NET DESIGNATOR;;;8A;PRIMARY COMMUNICATIONS NET DESIGNATOR;;1305/6;1-10;M
9;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;;9A;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;2080;3-5;M
10;SECONDARY FREQUENCY;;;10A;SECONDARY FREQUENCY;;2064;3-14;M
11;SECONDARY COMMUNICATIONS NET DESIGNATOR;;;11A;SECONDARY COMMUNICATIONS NET DESIGNATOR;;1305/7;1-10;M
12;MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER;;;12A;MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER;;2080;3-5;M
