FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CARGO CLASSIFICATION;;;1A;CARGO CLASSIFICATION;;1012/199;1-1;M
2;PAX OR CARGO TYPE;;;2A;PASSENGER CATEGORY;PA;1173/3;3-7;M
;PAX OR CARGO TYPE;;;2B;CARGO TYPE, GENERIC;CT;1173/15;;
3;QUANTITY OF LOAD TYPE;;;3A;CONTEXT QUANTITY, K PERMITTED, 4 CHARACTERS MAX;;1390/3;1-4;O
4;CARGO WEIGHT;;;4A;BULK CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/2;3-5;O
;CARGO WEIGHT;;;4B;BULK CARGO WEIGHT IN TONS IN TENTHS;TON;1440/5;;
5;CARGO SIZE;;;5A;AIR CARGO SIZE;SIZE;2506;4-7;O
6;CARGO LENGTH;;;6A;CARGO LINEAR DIMENSION, LENGTH;;2507;2-7;O
7;CARGO WIDTH;;;7A;CARGO LINEAR DIMENSION, WIDTH;;2507;2-7;O
8;CARGO HEIGHT;;;8A;CARGO LINEAR DIMENSION, HEIGHT;;2507;2-7;O
9;HOIST REQUIREMENT INDICATOR;;;9A;HOIST REQUIREMENT INDICATOR;;1027/52;2-3;O
10;SUPPORT EQUIPMENT REQUIRED;;;10A;TYPE OF SUPPORT EQUIPMENT;;1135/9;1-20;O
11;HAZARDOUS CARGO DESIGNATOR, ABBREVIATED;;;11A;HAZARDOUS CARGO DESIGNATOR, ABBREVIATED;;1221/3;1-5;O
12;SINGLE DAGGER REQUIRED;;;12A;SINGLE DAGGER REQUIRED;;1359/22;1-1;O
13;NET EXPLOSIVE WEIGHT;;;13A;NET EXPLOSIVE WEIGHT;;2487;3-9;O
14;OVERSIZE CARGO WEIGHT;;;14A;OVERSIZE CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/3;3-5;O
;OVERSIZE CARGO WEIGHT;;;14B;OVERSIZE CARGO WEIGHT IN TONS IN TENTHS;TON;1440/3;;
15;OUTSIZE CARGO WEIGHT;;;15A;OUTSIZE CARGO WEIGHT IN SHORT TONS IN TENTHS;STON;1800/4;3-5;O
;OUTSIZE CARGO WEIGHT;;;15B;OUTSIZE CARGO WEIGHT IN TONS IN TENTHS;TON;1440/4;;
16;CONTACT NAME;;;16A;CONTACT NAME;;1022/7;1-20;O
