FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENTIFICATION;;;1A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-38;M
;UNIT IDENTIFICATION;;;1B;BASE IDENTIFICATION CODE;BASE;2141;;
;UNIT IDENTIFICATION;;;1C;UNIT DESIGNATOR;UNIT;1028/43;;
;UNIT IDENTIFICATION;;;1D;SHIP NAME;SHIP;1022/49;;
2;COMMAND AND CONTROL TYPE;;;2A;COMMAND AND CONTROL FUNCTION;FUNC;1874/3;2-7;M
;COMMAND AND CONTROL TYPE;;;2B;AIR COMMAND AND CONTROL DUTY ASSIGNED;DUTY;1109/4;;
3;ASSIGNMENT START TIME;;;3A;DAY-TIME START;;2000;7-7;O
4;ASSIGNMENT STOP TIME OR QUALIFIER;;;4A;DAY-TIME STOP;;2000;3-7;C
;ASSIGNMENT STOP TIME OR QUALIFIER;;;4B;TIME QUALIFIER UNTIL FURTHER NOTICE;;1220/5;;
5;MISSION NUMBER;;;5A;MISSION NUMBER;;1012/69;1-8;O
