FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMMAND AND CONTROL FUNCTION;;;1A;COMMAND AND CONTROL FUNCTION;;1874/3;3-5;M
2;UNIT OPERATIONAL STATUS;;;2A;COMMAND AND CONTROL FUNCTION OPERATIONAL STATUS;;1236/35;3-6;M
3;REASON FOR OPERATIONAL STATUS;;;3A;MISCELLANEOUS REASON;MISC;1212/2;3-7;M
;REASON FOR OPERATIONAL STATUS;;;3B;WEATHER REASON;WEATH;1212/3;;
;REASON FOR OPERATIONAL STATUS;;;3C;EMCON REASON;EMCON;1212/4;;
;REASON FOR OPERATIONAL STATUS;;;3D;SPECIAL REASON RELATED TO MOVEMENT NOTIFICATION;MOVE;1212/5;;
;REASON FOR OPERATIONAL STATUS;;;3E;SPECIAL REASON RELATED TO RELEASED STATUS;REL;1212/6;;
;REASON FOR OPERATIONAL STATUS;;;3F;HOSTILE ACTION;HOST;1212/7;;
4;LIMITING FACTORS;;;4A;LIMITATION FACTOR GENERAL CATEGORY;GEN;1347/5;3-4;O*
;LIMITING FACTORS;;;4B;LIMITATION FACTOR PERSONNEL CATEGORY;PERS;1347/6;;
;LIMITING FACTORS;;;4C;LIMITATION FACTOR COMMUNICATIONS CATEGORY;COMM;1347/7;;
;LIMITING FACTORS;;;4D;LIMITATION FACTOR ACTIVE SENSORS CATEGORY;ACT;1347/8;;
;LIMITING FACTORS;;;4E;LIMITATION FACTOR PASSIVE SENSORS CATEGORY;PASS;1347/9;;
;LIMITING FACTORS;;;4F;LIMITATION FACTOR OTHER SENSORS CATEGORY;SENS;1347/10;;
;LIMITING FACTORS;;;4G;LIMITATION FACTOR ADP SYSTEMS CATEGORY;ADP;1347/11;;
;LIMITING FACTORS;;;4H;LIMITATION FACTOR SUPPORT CATEGORY;SPT;1347/12;;
5;SUB-CATEGORY LIMITING FACTORS;;;5A;LIMITATION FACTOR SECURE VOICE SUB-CATEGORY;SECV;1347/13;3-4;C*
;SUB-CATEGORY LIMITING FACTORS;;;5B;LIMITATION FACTOR LINK SYSTEMS SUB-CATEGORY;LINK;1347/14;;
;SUB-CATEGORY LIMITING FACTORS;;;5C;LIMITATION FACTOR SEARCH SENSORS SUB-CATEGORY;SRCH;1347/15;;
;SUB-CATEGORY LIMITING FACTORS;;;5D;LIMITATION FACTOR IFF SIF SUB-CATEGORY;IFF;1347/16;;
;SUB-CATEGORY LIMITING FACTORS;;;5E;LIMITATION FACTOR PERIPHERAL COMPUTERS SUB-CATEGORY;COMP;1347/17;;
;SUB-CATEGORY LIMITING FACTORS;;;5F;LIMITATION FACTOR PERIPHERAL ADP EQUIPMENT SUB-CATEGORY;ADP;1347/18;;
;SUB-CATEGORY LIMITING FACTORS;;;5G;LIMITATION FACTOR DISPLAY CONSOLES SUB-CATEGORY;DISP;1347/19;;
