FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;STAGE OF CONFIRMATION;;;1A;STAGE OF CONFIRMATION;;1268/1;3-4;M
2;COMMUNICATIONS SYSTEM TYPE;;;2A;COMMUNICATIONS SYSTEM TYPE;;1278/1;2-7;M
3;COMMUNICATIONS NET DESIGNATOR;;;3A;COMMUNICATIONS NET DESIGNATOR;;1305/1;1-10;M
4;STATUS OF SYSTEM;;;4A;STATUS OF SYSTEM;;1236/5;3-6;M
5;NATO SECURITY CLASSIFICATION, ABBREVIATED;;;5A;NATO SECURITY CLASSIFICATION, ABBREVIATED;;1288/2;2-6;M
6;SPECIAL HANDLING MARKINGS;;;6A;SPECIAL HANDLING MARKINGS;;1101/2;6-15;M
7;SECURITY SYSTEM TYPE;;;7A;SECURITY SYSTEM TYPE;;1277/1;1-10;M
8;STATUS OF SECURITY SYSTEM;;;8A;STATUS OF SECURITY SYSTEM;;1236/6;3-3;M
9;TYPE OF SUBSCRIBER;;;9A;TYPE OF SUBSCRIBER;;1274/1;4-4;O*
10;QUANTITY OF SUBSCRIBERS;;;10A;QUANTITY OF SUBSCRIBERS;;1044/105;1-3;O*
