FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMMAND, CONTROL AND SURVEILLANCE ROLE;;;1A;COMMAND, CONTROL AND SURVEILLANCE ROLE;;1874/6;3-6;M
2;CALL SIGN;;;2A;CONTACT CALL SIGN;;1129/31;1-20;M
3;LINK 16 CALL SIGN;;;3A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
4;PRIMARY COMMUNICATION PARAMETERS;;;4A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;4B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;4C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;4D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
5;SECONDARY COMMUNICATION PARAMETERS;;;5A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;5B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;5C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;5D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
