FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COMMAND AND CONTROL UNIT IDENTIFIER;;;1A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;COMMAND AND CONTROL UNIT IDENTIFIER;;;1B;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;COMMAND AND CONTROL UNIT IDENTIFIER;;;1C;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
2;COMMAND AND CONTROL UNIT LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;COMMAND AND CONTROL UNIT LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;COMMAND AND CONTROL UNIT LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;COMMAND AND CONTROL UNIT LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;COMMAND AND CONTROL UNIT LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;COMMAND AND CONTROL UNIT LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;COMMAND AND CONTROL UNIT LOCATION;;;2G;ICAO BASE CODE;ICAO;1125/2;;
;COMMAND AND CONTROL UNIT LOCATION;;;2H;LOCATION NAME;LOC;1022/4;;
3;UNIT OPERATIONAL STATUS;;;3A;UNIT OPERATIONAL STATUS;;1236/34;3-6;M
4;ESTIMATED DATE TIME IN COMMISSION;;;4A;ESTIMATED DTG CURRENT STATUS EXPECTED TO END;;2033;14-14;C
5;NEXT OPERATIONAL STATUS;;;5A;NEXT BASE OPERATIONAL STATUS;;1236/39;3-6;C
6;TYPE OF COMMAND AND CONTROL AGENCY;;;6A;TYPE OF COMMAND AND CONTROL AGENCY;;1874/4;2-6;M
7;COMMAND AND CONTROL MODE;;;7A;COMMAND AND CONTROL MODE;;1874/2;3-3;O*
