FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PLANNED OPERATIONAL COMMAND/UIC;;;1A;PLANNED OPERATIONAL COMMAND;;1028/4;1-13;O
;PLANNED OPERATIONAL COMMAND/UIC;;;1B;PLANNED OPERATIONAL COMMAND UIC;UIC;2141;;
2;PLANNED OPERATIONAL CONTROL/UIC;;;2A;PLANNED OPERATIONAL CONTROL;;1028/5;1-13;O
;PLANNED OPERATIONAL CONTROL/UIC;;;2B;PLANNED OPERATIONAL CONTROL UIC;UIC;2141;;
3;PLANNED TASK DESIGNATOR;;;3A;PLANNED TASK DESIGNATOR;;1037/2;1-9;O
4;NATIONAL PARENT IDENTIFIER/UIC;;;4A;NATIONAL PARENT IDENTIFIER;;1028/6;1-9;O
;NATIONAL PARENT IDENTIFIER/UIC;;;4B;NATIONAL PARENT UIC;UIC;2141;;
5;NATO PARENT IDENTIFIER/UIC;;;5A;NATO PARENT IDENTIFIER;;1028/7;1-9;O
;NATO PARENT IDENTIFIER/UIC;;;5B;NATO PARENT UIC;UIC;2141;;
6;PLANNED TOA COMMAND;;;6A;PLANNED TOA COMMAND;;1071/2;2-2;O
7;PLANNED TOA CONTROL;;;7A;PLANNED TOA CONTROL;;1071/3;2-2;O
