FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;START POSITION DESIGNATOR;;;1A;Q-ROUTE POINT CODE;;2005;2-9;M
;START POSITION DESIGNATOR;;;1B;ATP-1 POSITION DESIGNATOR;;1612/1;;
2;GEODETIC DATUM;;;2A;GEODETIC DATUM;;1195/1;3-6;O
3;START POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;START POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;START POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;START POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;START POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;START POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;START POSITION;;;3G;PLACE NAME;NAME;1022/170;;
;START POSITION;;;3H;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;START POSITION;;;3I;Q-ROUTE POSITION;QPOS;2203;;
4;END POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;END POSITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;END POSITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;END POSITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;END POSITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;END POSITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;END POSITION;;;4G;PLACE NAME;NAME;1022/170;;
;END POSITION;;;4H;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;END POSITION;;;4I;Q-ROUTE POSITION;QPOS;2203;;
5;CHANNEL DIRECTION;;;5A;CHANNEL DIRECTION;;2079;4-6;O
6;CHANNEL LENGTH, NAUTICAL MILES;;;6A;CHANNEL LENGTH, NAUTICAL MILES;;2206;3-7;O
7;CHANNEL WIDTH, METRES OR YARDS;;;7A;CHANNEL WIDTH, METRES OR YARDS;;2207;2-6;O
8;TIDAL STREAM COURSE AND SPEED, WITH DECIMAL PLACES;;;8A;TIDAL STREAM COURSE AND SPEED, WITH DECIMAL PLACES;;2073;9-14;O
9;DAY-TIME START;;;9A;DAY-TIME START;;2000;7-7;O
10;DAY-TIME AND MONTH OF START;;;10A;DAY-TIME AND MONTH OF START;;2030;10-10;O
11;DTG OF ACTIVATION;;;11A;DTG OF ACTIVATION;;2033;14-14;O
12;DAY-TIME STOP;;;12A;DAY-TIME STOP;;2000;7-7;O
13;DAY-TIME AND MONTH OF STOP;;;13A;DAY-TIME AND MONTH OF STOP;;2030;10-10;O
14;DTG OF DEACTIVATION;;;14A;DTG OF DEACTIVATION;;2033;14-14;O
15;DANBUOY LINE OFFSET, METRES OR YARDS.;;;15A;DANBUOY LINE OFFSET, METRES OR YARDS.;;2036;4-8;O
16;DANLINE DIRECTION;;;16A;DANLINE DIRECTION;;2079;4-6;O
17;NUMBER OF DANBUOYS;;;17A;NUMBER OF DANBUOYS;;1044/56;1-2;O
18;DANBUOY SPACING, METRES OR YARDS;;;18A;DANBUOY SPACING, METRES OR YARDS;;2208;2-6;O
