FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MAIN CHANNEL ENTRANCE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;MAIN CHANNEL ENTRANCE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;MAIN CHANNEL ENTRANCE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;MAIN CHANNEL ENTRANCE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;MAIN CHANNEL ENTRANCE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;MAIN CHANNEL ENTRANCE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;COURSE, DEGREES MAGNETIC;;;2A;COURSE, DEGREES MAGNETIC;;2186;4-4;M
3;LANDMARK DESCRIPTION;;;3A;LANDMARK DESCRIPTION;;1363/49;1-30;M*
4;LANDMARK POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;LANDMARK POSITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LANDMARK POSITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LANDMARK POSITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LANDMARK POSITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LANDMARK POSITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
5;BEARING, DEGREES MAGNETIC;;;5A;BEARING, DEGREES MAGNETIC;;2476;4-4;O*
