FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CENTRE OF CIRCLE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-48;M
;CENTRE OF CIRCLE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CENTRE OF CIRCLE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CENTRE OF CIRCLE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CENTRE OF CIRCLE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CENTRE OF CIRCLE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CENTRE OF CIRCLE;;;1G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;CENTRE OF CIRCLE;;;1H;POSITION OR POINT NAME;NAME;1022/18;;
;CENTRE OF CIRCLE;;;1I;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;TBRN;2016;;
;CENTRE OF CIRCLE;;;1J;Q-ROUTE POSITION;QPOS;2203;;
;CENTRE OF CIRCLE;;;1K;UNIT NAME;UNIT;1022/48;;
;CENTRE OF CIRCLE;;;1L;VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT;BAR;2202;;
;CENTRE OF CIRCLE;;;1M;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
2;RADIUS, YD, KYD OR NM;;;2A;RADIUS, YD, KYD OR NM;;2433;3-8;M
