FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CIRCLE FILTER CENTRE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-30;M
;CIRCLE FILTER CENTRE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CIRCLE FILTER CENTRE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CIRCLE FILTER CENTRE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CIRCLE FILTER CENTRE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CIRCLE FILTER CENTRE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CIRCLE FILTER CENTRE;;;1G;PLACE NAME;NAME;1022/170;;
;CIRCLE FILTER CENTRE;;;1H;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);TBR;2431;;
;CIRCLE FILTER CENTRE;;;1I;Q-ROUTE POSITION;QPOSN;2203;;
;CIRCLE FILTER CENTRE;;;1J;UNIT;UNIT;1022/57;;
2;RADIUS IN NAUTICAL MILES;;;2A;RADIUS IN NAUTICAL MILES;;1580/6;1-3;M
3;RADIUS OF INNER ANNULUS IN NAUTICAL MILES;;;3A;RADIUS OF INNER ANNULUS IN NAUTICAL MILES;;1580/14;1-3;O
