FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA NAME;;;1A;AREA NAME;;1022/69;1-38;M
2;AREA TYPE;;;2A;AREA TYPE;;1284/17;2-10;M
3;DAY-TIME START;;;3A;DAY-TIME START;;2000;7-7;M
4;DAY-TIME STOP;;;4A;DAY-TIME STOP;;2000;7-7;M
5;ALTITUDE OR ALTITUDE BAND;;;5A;ALTITUDE, HUNDREDS OF FEET;ALT;1255/14;3-7;O
;ALTITUDE OR ALTITUDE BAND;;;5B;ALTITUDE BAND;ALTBAND;2100;;
6;AREA GEOMETRY;;;6A;RADIUS, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;CIRC;2490;2-22;O
;AREA GEOMETRY;;;6B;ELLIPTICAL AREA, DIMENSIONS AND MAJOR AXIS ORIENTATION;ELL;2494;;
;AREA GEOMETRY;;;6C;SECTOR GEOMETRY WITH OUTER RANGE;SECTO;2526;;
;AREA GEOMETRY;;;6D;SECTOR GEOMETRY WITH INNER AND OUTER RANGE;SECTIO;2527;;
7;AREA COORDINATES OR ORIGIN;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;4-22;C*
;AREA COORDINATES OR ORIGIN;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AREA COORDINATES OR ORIGIN;;;7C;ICAO LOCATION INDICATOR;ICAO;1125/1;;
