FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER;;;1A;MISSION NUMBER;;1012/69;1-8;M
2;TYPE OF AIRCRAFT CONTROL AGENCY;;;2A;TYPE OF AIRCRAFT CONTROL AGENCY;;1395/5;3-6;M
3;CALL SIGN OF CONTROL AGENCY;;;3A;CALL SIGN OF CONTROL AGENCY;;1129/10;1-15;M
4;PRIMARY FREQUENCY;;;4A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY FREQUENCY;;;4B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY FREQUENCY;;;4C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY FREQUENCY;;;4D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
5;SECONDARY FREQUENCY;;;5A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY FREQUENCY;;;5B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY FREQUENCY;;;5C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY FREQUENCY;;;5D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
6;REPORT-IN POINT;;;6A;REPORT-IN POINT NAME;NAME;1022/106;1-22;O
;REPORT-IN POINT;;;6B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;REPORT-IN POINT;;;6C;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
